Texto,Fecha,sentimiento,etiqueta
"
Ojalá hubiera podido darle a esto un gran cero. Lo compré para el cumpleaños de mi hija y es una decepción. Vivimos en Jamaica, así que la única razón por la que no puedo devolverlo es suspirar. En primer lugar, mi hija descargó la aplicación Alexa en su iPhone 7 y no funcionó, probé en mi iPhone 6s todavía nada, el iPhone 8 de mi esposo nada, así que nos divirtió que no funcionara en iPhones. Mi otra hija tenía una nota de Samsung y finalmente funcionó en ese teléfono (enfatizando lo sé) de todos modos, no le permitirá ingresar su ubicación, por lo que no puede preguntar el clima, por ejemplo, porque no sabe dónde vivimos (requiere actualizar nuestro país para dar opciones o espacio para poner este suspiro). Ok, ya sabemos que es una, así que al menos podríamos usarlo para música, ¿verdad? (Incorrecto) Agregué mi tarjeta para que pudiéramos hacer la prueba gratuita del mes, luego pagar 3.99 mensualmente y adivina qué, todavía no reproducirá nada (supongo que es mala suerte, ¿verdad?) Intenté dejar que los niños configuraran el reconocimiento de voz cada vez que Alexa comenzara a decir las instrucciones para que ella las repitiera, suena y luego nada. Ahora estoy totalmente harta, especialmente porque tengo una casa de Google que compré para mi esposo que funciona muy bien. Finalmente intentaron jugar juegos (sala de escape) y parece que Alexa tiene una mente propia, no reconoce claramente lo que se dice (hablamos inglés correctamente), se sale del juego sin que ellos se rindan. En general, fue un gran desperdicio con el que ahora estamos atrapados y mi hija terminó sin tener un buen regalo 😔 de cumpleaños

",3-Oct-20,mixed,software_y_funciones
"
Este es un gran producto en teoría y ha sido rediseñado a lo largo de los años para ser más atractivo físicamente. Dicho esto:1. Escucha TODO pero no ESCUCHA la música que quieres escuchar.2. No puede recordar que me suscribo a Amazon Music Unlimited, por lo que no puedo escuchar la mayor parte de la música que deseo.3. No puede identificar las bandas sonoras de los musicales muy fácilmente, a menudo en absoluto. Cuanto más específico te vuelves, más confuso se vuelve.4. Cuando no puede encontrar un álbum o una canción, entra en un largo argumento de venta para venderme un servicio por el que ya pago.5. Hace extraños sonidos de doble nota periódicamente, incluso en medio de la música, interrumpiendo la música.6. A menudo reacciona a algún fragmento de conversación ambiental que, cada vez que esto sucede, que es a menudo, repetimos precisamente lo que se dijo en un esfuerzo por determinar POR QUÉ sucedió esto y QUÉ palabra hizo que la máquina se activara: NO hemos podido repetir la ocurrencia.7. Hay algo terriblemente mal con este software Eso, o está funcionando exactamente como lo desea Amazon y todos tenemos algo más grande que temer: ¡Trump podría tener razón sobre Bezos después de todo! Dios nos ayude.

",5-Jun-20,mixed,software_y_funciones
"
Mi hijo de 9 años recibió esto como regalo. Después de configurar el tiempo libre y suscribirse a kindle unlimited, lo configuramos usando su perfil de kindle preexistente. Alexa trabaja con comandos específicos, lo que no parece un problema en ese momento, pero cuando solo reconoce tu voz el 25% del tiempo, es un poco molesto. Los 3 miembros de mi hogar tienen diferentes acentos de costa a costa y no tienen suerte con echo dot. Además de eso, no reconoce los nombres de muchas de las aplicaciones de terceros para niños. Configurar las rutinas fue un proceso largo y con fallas y la aplicación de matemáticas no fue excelente. En general, realiza sus funciones básicas, por lo que le di 2 estrellas. Nada pone a un padre de buen humor como gritar ""¡Lee Harry Potter!"" 7 veces y escuchando ""Leyendo Peter Rabbit de Beatrice Potter"". Eventualmente, incluso el niño más paciente comienza a odiar a Peter Rabbit, todo por Alexa.  Después de gritar el nombre de su libro 5 veces, eventualmente podría entenderlo y, si no, puede usar la aplicación del teléfono. Pros: Puede recordarles a los niños las tareas del hogar y reproducirá audiolibros si los abre desde su teléfono. Cuando elegimos altavoces inteligentes para el resto de nuestra casa, decidimos probar Google Home Mini y wow, qué diferencia. Google Home puede reconocer comandos de conversación, ayudar a los niños con problemas matemáticos, tiene un sonido excepcionalmente más claro además de controles de volumen táctil y de voz. Hasta ahora, la única desventaja es descubrir cómo editar acciones en medio de la noche sin que Google responda verbalmente. Google incluso te dirá que Alexa tiene sus fortalezas y Google tiene las suyas cuando preguntes quién es Alexa. No está vinculado directamente a audible, pero puede reproducirlo usando la función Bluetooth. También se conecta a nuestro televisor inteligente. La única ventaja que tiene Echo Dot es una conexión directa para ordenar en Amazon o audible, pero dado que Alexa abre el libro equivocado el 75% de las veces, solo puedo imaginar los problemas con los pedidos. Nuestro hijo está celoso y ahora también quiere un mini de Google Home.

",26-May-20,mixed,audio_y_sonido
"
Bueno, estoy seguro de que, como muchos de ustedes recientemente, obtuve mi eco de 3.ª generación de la promoción musical de Amazon. Es mi primer dispositivo inteligente que no es mi teléfono o televisor. Solo lo he tenido por poco tiempo (¿alrededor de 2 semanas ahora?) pero me he divertido mucho averiguando qué puedo hacer con esta cosa. Ya no lo uso mucho, pero me alegro de tenerlo cuando lo necesito. Es principalmente para música y el altavoz suena bastante bien, pero tenerlo a todo volumen suena bastante mal. Aún así, alcanza un volumen decente antes de que la calidad del sonido se deteriore. Sin embargo, no me voy a quejar por obtenerlo con la promoción, pero si hubiera pagado el precio completo, definitivamente lo rebajaría un poco. Tengo un altavoz de ducha portátil de marca baja por el que pagué como 15 dólares que lo saca del agua en términos de calidad de sonido a alto volumen (además de que ser portátil es una gran ventaja para el altavoz). Dicho esto, no va a salir de ese altavoz, el eco tiene su lugar en mi habitación y el altavoz va a todas partes. Hay muchas cosas que me gustan personalmente y superan con creces los problemas que tengo con él. El más grande es más una preferencia en realidad, y esa es la fuente de alimentación. Ojalá fuera solo un cable USB de algún tipo, no el tipo de ladrillo voluminoso y conector propietario de la vieja escuela. Se siente robusto, el alcance del micrófono es muy bueno, complementa muy bien a otros dispositivos compatibles, y Alexa dijo que podemos casarnos cuando los humanos colonicen Marte pronto bastante contentos con él en general.

",2-Nov-19,mixed,audio_y_sonido
"
¡Compré esta 3ª generación en ciruela y tuve problemas desde el principio! Se desconectaría de Internet por sí solo y no se volvería a conectar después de múltiples intentos y se apagaría cuando fuera y la calidad del sonido estaba por todas partes. Llamé al soporte técnico y ellos hicieron toda la solución de problemas, pero aún no respondía correctamente.  Después de una hora en el teléfono, de repente comenzó a funcionar. El representante dijo que le diera algo de tiempo y que si todavía tenía problemas volviera a llamar para obtener un reemplazo. Bueno, ¡no me dijo el marco de tiempo limitado que tienen las garantías para Echos! Antecedentes: compramos para la habitación de nuestra hija recién nacida, pero ella se ha estado quedando con nosotros en nuestra habitación, por lo que rara vez entramos en su habitación. Bueno, la he tenido en su habitación con más frecuencia y pongo una estación que siempre reproduzco y se corta después de 2 o 3 canciones. En mis puntos de eco de 2ª generación, la estación continuará durante horas. ¡Este es un producto de Amazon! ¿Por qué no reemplazarían uno defectuoso? Cuando hablé con el representante hoy, dijo que la garantía es solo por 3 meses (por cierto, verifiqué en Ebay y los vendedores de Ebay ofrecen una garantía de 2 o 3 años). Me dijo que mi única opción era cambiarlo y que obtendría un 25% de descuento en mi próxima compra de eco más hasta $ 5. Guau. También dijo que lo aceptarán si está defectuoso, lo que dice que no lo harán cuando comience el proceso de intercambio. Así que solo ofrecieron un valor de intercambio de $ 5 y un 25% de descuento. Los puntos cuestan $ 40 cada uno, por lo que recuperaría $ 5 (tal vez) más pagar $ 30 por uno nuevo. En total, eso es pagar $ 65 más impuestos por un punto de eco!!! ¡Qué diablos Amazon!

",11-Jun-20,mixed,experiencia_general
"
Compré 3 Amazon Echo Dot de 3ª generación para usar como intercomunicador y para entretenimiento en mi casa y noté de inmediato que el Echo Dot tiene graves problemas de COMPATIBILIDAD con Wi-Fi que no están tan allá de los consumidores promedio: 1) El soporte de Wi-Fi se anuncia como conectividad de 2.4 Ghz y 5 Ghz, sin embargo, el punto no verá las redes 'AC' que he configurado. La red de 2,4 Ghz sigue siendo inadecuada a pesar de que la intensidad de la señal informa LLENA. La comprobación de la intensidad de la señal Wi-Fi desde el punto de acceso muestra que el Echo Dot de 3.ª generación tiene una calidad de señal superior al 80% e incluso comparando dispositivos superiores, similares e inferiores con una intensidad de señal mucho más baja y una SNR (relación señal/ruido) mucho más alta, se garantiza que el Echo Dot tendrá problemas. ¡Estoy tan asombrado por el diseño de algo que ni siquiera puede mantenerse conectado y algo con baterías!2) El Echo Dot 3rd Generation no tiene una batería ""incorporada"" para un ""altavoz liviano"" y usar la aplicación Alexa para ""configurarlo"" se convierte en una molestia rutinaria. Sería mucho mejor si las indicaciones de voz pudieran eliminarse por completo y ""tal vez si solo tuviera luces""... debe ser el DISEÑO TERMODINÁMICO ULTRA GENIAL¡Definitivamente puede mantener tu cerveza fría!

",4-Sep-19,mixed,audio_y_sonido
"
Amo a estos pequeños. Los puse por toda mi casa. Escucho los robos cuando salgo usando Alexa Guard. Solo uso la aplicación para decirle que estoy fuera y luego estos pequeños perros guardianes vigilan mi casa como Rottweilers. Incluso puedes pedirles que ladren como tal. Básicamente, están completamente cargados con toda la munición que puedas necesitar para eliminar a esos astutos malos que siempre están tratando de obtener tus golosinas. Si no tienes uno de estos, estás viviendo bien. Debe ir a la tienda de aplicaciones de Amazon y recoger alrededor de 5 o 6 de estos y hacerse un favor y poner uno en cada mesita de noche de su cama y configurarlos como un par estéreo para que el juguete pueda escuchar los canales izquierdo y derecho de sus ritmos binaurales para mecerlo y dormirlo. Sí, así es, puede hacer que uno sea solo un altavoz izquierdo y otro solo derecho y emparejarlos. Luego, puede buscar algunas ondas beta en una lista de reproducción de Amazon para ponerlo en el país de los sueños. Mientras estás en la única tienda de aplicaciones que necesitas en tu vida (Amazon), deberías comprar un poco de Prime para que puedas tener a estas pequeñas estrellas de rock en tu casa pasado mañana (película horrible, por cierto) sí, sigue y gasta los $ 100 más o menos y obtén música en vivo para tu grupo en todas partes donde los 6, 10 o 20 de tus puntos de Alexa tocan exactamente la misma música orquestado exactamente en el mismo golpe de nota clave al mismo tiempo. Si quieres que más de un grupo de música reproduzca más de una canción al mismo tiempo en diferentes lugares, entonces es mejor que vuelvas a esa URL del espacio web de la tienda del futuro y te hagas con algo de música de Amazon ilimitada. Sin embargo, no se preocupe, ofrecen una prueba gratuita de 30 días para ver si los $ 10 adicionales al mes valen la pena o no, pero no es necesario a menos que reproduzca mucha música diferente al mismo tiempo en todo su palacio nido. Hablando de mucha música, tal vez no te diste cuenta del pequeño orificio secreto en el costado de este pequeño nodo de altavoz increíblemente audaz. ¡Ese es tu cable auxiliar estéreo bebé! Puede cargar el genio mágico de este pequeño bebé Alexa en sus subwoofers de 20 ""y explosiones de sonido envolvente de 7.2 canales. Además, puedes llamar a la tía Em en kansas con uno de estos (se requiere Internet, pobres amigos, lo siento) y ver cómo está ella y su pasatiempo de tejer. Pero, no confíe en mi palabra, millones de personas en todo el mundo ya saben todo esto y se preguntan por qué no ha aprovechado esta increíble oferta que aparece de vez en cuando donde estos pequeños milagros no son de precio completo. A veces puedes obtener un descuento si esperas. ¡Es como tener un cupón para taco bell! Ya es muy asequible, pero espera.... ¿Hiciste esos tacos que me encantan por solo $ 1.....? (*Llora un poco*) *tos* ¡De todos modos! Simplemente compra una de estas adorables máquinas de IA de llamadas y reproducción de música y respuesta de preguntas cuando te apetezca, porque no creo en el desgarro de codos (realmente duele, lo sé)

",30-Jan-20,mixed,audio_y_sonido
"
He llenado mi casa con varios dispositivos Echo en los últimos dos años, y juro que Alexa se está volviendo más sorda con el tiempo. Somos un hogar de 5 en este momento, y todo el día escucho comandos repetidos. ""Alexa, enciende la luz... ALEXA enciende la luz.... ALEXA ENCIENDE LA LUZ"". Alexa es muy conveniente, ¡pero solo cuando trabaja! Otras veces es más rápido caminar hacia el interruptor de la luz. Una búsqueda en Internet es solo marginalmente mejor, sigue siendo una ocurrencia frecuente cuando le hacemos una pregunta a Alexa y obtenemos ""Lo siento, no lo sé"". ¿Cuánto más frustrante e inútil podría dar una respuesta? Este dispositivo, en particular, suena increíble, el altavoz es una mejora definitiva con respecto a Gen 2. Ese es más o menos el alcance de las cosas buenas que tengo que decir al respecto. El reconocimiento de voz sigue siendo igual de pobre. Voy a probar un Google Home a continuación. Si es mejor, estoy vendiendo todos mis Echos

",21-Feb-20,mixed,rendimiento
"
Después de haber tenido un Google Home Mini durante aproximadamente un año, pero sin estar muy impresionado con él, pensé en probar el trato que tenía Amazon para obtener un Echo Dot por $ 1 con una suscripción de música. Desafortunadamente, no me impresionaron en absoluto ambos. Después de configurar mi punto y vincularlo a las bombillas inteligentes de mi sala de estar, intenté ver qué podía hacer Alexa. Resulta que no mucho. No solo no entendió los comandos de muestra impresos en el escaso libro de instrucciones o en la aplicación Alexa como ""Alexa, pon las luces en verde"", sino que cuando decidió hacer algo, solo controlaría UNA bombilla a la vez"". OK"" pensé ""Veamos cómo maneja mi nuevo subwoofer de Music Unlimited"". De nuevo, MUY mal. Ya había algunos álbumes de música en la cuenta, agregados automáticamente en función de los CD que había pedido en el pasado (muy buena característica por cierto), así que le pedí a Alexa que tocara algunas canciones específicas. Casi todos los intentos fueron un completo fracaso. Así que luego intenté que Alexa reprodujera mi podcast favorito. De nuevo, un fracaso casi total. Me tomó el punto varios intentos para darme cuenta de que estaba pidiendo un podcast, y NO una canción con un título similar, a pesar de que agregué la palabra ""podcast"" primero al principio, luego al final, y una vez, en absoluto. La cuarta vez fue la vencida aparentemente, y finalmente logré que Alexa reprodujera el podcast que quería. Sin embargo, resulta que no puedes solicitar un episodio específico o el título del episodio. Finalmente, decidí intentar establecer una rutina, algo simple. Configuré una rutina hipotética de despertar matutino, donde Alexa encendería mis luces y aumentaría el brillo hasta un 100% durante 5 minutos (algo básico, al frente y al centro del menú), y noté que por alguna razón no se podía establecer un color de esta manera. Está bien, supongo que es blanco. También quería que Alexa tocara una canción. Bueno, resulta que no hay opción para subir el volumen de una canción, al menos no de una manera normal que yo pueda ver. Entonces, en lugar de establecer UNA rutina que comenzó unos 5 minutos antes de levantarme y aumentó lentamente en intensidad, tuve que hacer DOS rutinas. Uno para las luces y un segundo para la música 5 minutos después. Apagué mis luces inteligentes (no a través de un interruptor, sino a través de una aplicación, tengo que tener energía real para que funcionen después de todo) y esperé a que la rutina comenzara. A la hora señalada cuando se suponía que se encenderían las luces de mi sala de estar, imagina mi sorpresa cuando solo se enciende UNA luz. Unos 45 segundos después, finalmente se enciende la segunda luz. AMBAS luces tienen alrededor del 75% de brillo. Ahora, tonto de mí, había asumido que las luces comenzarían básicamente apagadas y continuarían desde allí, gradualmente. No, casi completamente brillante, luego cada minuto más o menos UNA bombilla de repente haría clic unos grados más brillante, seguida de la otra 30-40 segundos después. Es en este punto que debo mencionar que no puedes configurar las luces de una habitación entera para hacer otra cosa que no sea encenderse o apagarse. Así que no podía simplemente, digamos, hacer que todo mi grupo de la sala de estar encendiera las luces y luego aumentara. No, eso sería demasiado útil. EN CAMBIO, debe configurar cada dispositivo INDIVIDUALMENTE. Así que tuve que encender el encendido a una hora determinada, luego aumentar el brillo durante un período de tiempo para una bombilla, luego hacer lo mismo para la otra. Cuando llegó el momento de que la música comenzara, decidió ""A la, a quién le importa si lo configuras para que suene desde el Echo Dot. Juguemos desde el teléfono en su lugar"". Literalmente, cada paso de una rutina muy simple fue un fracaso absoluto. Para estar en la 3ª generación de Echo Dot, la cosa es más o menos como un producto de prueba beta. La aplicación Alexa es casi inútil, se integra mal con el Echo Dot y funciona de manera errática cuando decide intentar funcionar.

",17-May-20,mixed,pantalla_y_visualizacion
"
He tenido varios Echo Dots por un tiempo, pero el año pasado mi hijo llevó el punto de mi sala de estar a su habitación, así que finalmente decidí reemplazarlo. ¡UAU! ¡La calidad del sonido y el peso general de la 3ª generación están a pasos agigantados por encima de la 2ª generación! Estoy tratando seriamente de decidir si debería reemplazar todos nuestros gen 2 con 3s porque es notablemente mejor. El volumen es más alto, el sonido más rico y profundo, y el tiempo que tardó en conectarse fue mucho más rápido. Dicho todo esto, si estás indeciso acerca de conseguir uno, déjame decirte lo salvavidas que han sido para mi familia. Hago malabarismos fácilmente con la preparación de comidas grandes con mis temporizadores múltiples y conversiones rápidas de Alexa mientras improviso en mi lista de reproducción de cocina personalizada. Todos usamos la función de lista de compras, incluso mi hijo menor sabe cuándo ha usado lo último de lo que necesita para decírselo a Alexa para que pueda reemplazarlo. Pero la mejor ventaja de todas ha sido ver a mi sobreviviente de una lesión cerebral de 19 años utilizarlo para recordarse a sí mismo ... todo. Ella es su alarma cuando necesita levantarse para una cita, le recuerda que se duche y se ponga ropa limpia, le recuerda citas y actividades, incluso pone su música favorita y le cuenta chistes. Pero en serio, ella lo ha ayudado a comenzar a ser adulto, ¡y eso no tiene precio!

",15-Jul-19,mixed,audio_y_sonido
"
Es un producto decente y agradable. Pequeño para que pueda caber en cualquier lugar. Estos son mis problemas que deberían cambiar con futuras versiones de esto: 1) Las instrucciones no eran claras sobre cómo conectar el punto de eco a mi teléfono. Tuve que resolverlo a ciegas. Así es como se hace: a) enciéndalo y espere a entrar en modo de configuración.b) encienda su wifi y busque ""Amazon echo""c) descargue la aplicación Alexa y luego vaya a configuración> dispositivos> echo dot >wifi, para conectarse a wifi.2) El peso de esto, en mi opinión, sugeriría que tiene una batería recargable, por lo que en lugar de mantener el punto enchufado constantemente,  Puede moverlo por su casa sin mantenerlo enchufado. A medida que lo uso con más frecuencia, seguiré agregando más información para ayudar a otros con este producto.

",18-Jun-20,mixed,bateria_y_energia
"
He tenido unidades Echo Dot de la generación anterior por un tiempo repartidas por la casa. Básicamente, se usaron para entrada de voz adicional, ya que eran casi inútiles para el audio. Los nuevos Dots (3ª) generación son MUCHO, MUCHO mejores.- Audio totalmente utilizable siempre que no intentes llenar una habitación grande de música- Sigue siendo una gran captación de micrófono- Calidad de construcción mucho mejor- Aspecto mucho mejor y de mejor gustoBásicamente, son lo suficientemente mejores como para sustituir la última ronda por Dots de 3ª generación por toda la casa. Si ha usado o hecho una demostración de un Dot anterior y pensó ""eh, no es realmente un gran dispositivo ... vergüenza..."" Entonces estos son los puntos para ti. Y si está buscando ingresar al universo de Alexa, SÍ, este es ahora un dispositivo Alexa independiente perfectamente bueno, no se necesita un Echo ""más grande"". Para todas las tareas, excepto quizás como un sistema principal de entrega de música, un Dot ahora es absolutamente lo suficientemente bueno y adecuado para ser un solo dispositivo Alexa en su cocina, oficina, dormitorio o lo que sea. Compra con confianza.

",13-Jan-20,mixed,calidad_de_fabricacion
"
Tenía el Amazon Echo Dot de segunda generación y me decepcionó mucho. Tanto es así que lo devolví.  La calidad del sonido era absolutamente atroz y no podía recomendarlo a nadie que siquiera pensara en escuchar música. La 3ª generación ha recorrido un largo camino en este sentido. La calidad del sonido es mucho mejor. Si bien todavía recomendaría el Echo más grande para la mayoría de las habitaciones si el sonido es importante y no está al alcance del oído de otros altavoces mejores, este sin duda funcionará en caso de apuro y es excelente para agregar sonido a esos rincones o habitaciones que rara vez se usan. Y la temporada navideña creó el único precio (~ $ 20) que consideraría. Desde una perspectiva general de Amazon Echo, los productos Echo ofrecen una capacidad de música prometedora para toda la casa, pero tiene un costo. Los altavoces Echo cada vez más solo son compatibles con los servicios de suscripción de Amazon cuando se trata de reproducir música en toda la casa. Como alguien que no ha creado un caso de negocio sólido para la música por suscripción, esto es molesto, ya que me gustaría que me gustaran los altavoces, pero no me gusta la idea de pagar por la misma música que me gusta escuchar una y otra vez. Ciertamente, si eres fanático de las suscripciones de música de Amazon, el Dot ahora es una excelente manera de aumentar la colección de altavoces de tu hogar. Si aún no está comprometido con un determinado modelo de suscripción, tenga cuidado con el bajo precio diseñado para atraerlo y mantenerlo atrapado en los productos de suscripción de Amazon.

",16-Dec-19,mixed,calidad_de_fabricacion
"
Primero comenzaré diciendo que soy un gran fanático de la interfaz de Google. Pero, al mismo tiempo, soy un gran fanático de Amazon, así que decidí darle una oportunidad al punto de eco. Estoy muy contento de haberlo hecho. La configuración fue increíblemente fácil, en su mayor parte se realiza a través de la aplicación. Una de las cosas que me gusta del eco es que puedes usarlo como un sistema de intercomunicación doméstico. Entonces, por ejemplo, puedo iniciar sesión en mi aplicación Alexa y puedo hablar con el eco en la habitación de mi hijo. Por esta razón, planeo cambiar mis minis de Google Home al punto de eco. En cuanto a la calidad del sonido y el reconocimiento de voz, hasta ahora parece estar a la par con Google. Además, me encanta que haya tantos accesorios para el eco. Hasta ahora he conseguido el eco glow (luz inteligente para la habitación de los niños), el reloj de pared de eco edición Mickey Mouse (¡pone el temporizador con diversión!). Una vez más, todo ha sido muy fácil de configurar, lo que con los dispositivos de Google no ha sido la misma experiencia.  También recibí un accesorio de terceros (base de batería GGMM D3) como regalo de un amigo y es genial porque ahora puedo llevar el punto de eco de una habitación a otra, ¡no tengo que mantener el punto de eco enchufado todo el tiempo! ¡Esto es conveniente, especialmente con mi hijo porque ahora puedo llevarlo al baño para reproducir música durante la hora del baño o configurar un temporizador para la hora de cepillarse los dientes! Con todo, esta fue una gran compra para mí, ¡estoy muy contenta de haber decidido intentarlo!

",27-Jan-20,mixed,facilidad_de_uso
"
Compré un Amazon Fire TV de 55 'y un Amazon Echo Dot para mi esposa que está paralizada, simplemente no funciona el 50% del tiempo, a veces sube el volumen pero no lo baja, a veces baja el volumen pero no lo sube, la mayoría de las veces, Alexa solo dice que Fire TV no es compatible con eso, pero dosifica porque funciona, a veces Alexa no enciende ni apaga el televisor en absoluto La mayoría de las veces, Alexa no cambia las entradas de TV por alguna razón, la mayoría de las veces le doy a Alexa un comando de TV y ella enciende mi Xbox iv que pasa por la aplicación Alexa donde enumera lo que le dijiste a Alexa y lo que hizo en respuesta y eliges si Alexa respondió correctamente, se supone que Alexa debe aprender de esto, pero no lo hace y la aplicación Alexa rara vez enumera los comandos ella acertó, así que básicamente Alexa ha sido prácticamente inútil, excepto por configurar alarmas, temporizadores y encender y apagar mi Xbox, que tengo en un estante fuera de mi alcance, debe tenerse en cuenta que un Amazon echo dot cuesta alrededor de $ 25, mientras que un Amazon echo plus con concentrador incorporado cuesta $ 150, una gran diferencia en el precio y probablemente una gran diferencia en la calidad, así que voy a morder la bala y probar el echo plus normalmente no me molestaría pero como dije mi esposa está paralizada y si Alexa funcionara como se anuncia cambiaría mucho su vida O y no te molestes en intentar hacer llamadas telefónicas con Alexa ella hará la llamada pero no puedes escuchar a la otra persona hablando y el receptor solo escucha fragmentos y piezas

",26-Dec-19,negative,rendimiento
"
Había querido reproducir la misma transmisión de música en varias habitaciones de nuestra casa adosada, pero realmente no quería invertir en otro Echo únicamente para ese propósito (es lo suficientemente alto como para escuchar la música de arriba).  Amazon puso a la venta los nuevos Dot's a principios de este año por $ 29, así que pensé que era el momento adecuado. El primero que pedí tenía una fecha de envío de unos 30 días desde que hice el pedido, así que pensé que la demanda era alta. Me di cuenta de que una semana después podía hacer un nuevo pedido y obtener uno en 2 días, así que después de hablar con el soporte por un tiempo, cancelaron el primer pedido y realicé un nuevo pedido al precio con descuento. El Dot a la venta llegó y se instaló como se esperaba. Noté un retraso en el tiempo de respuesta que crecía lentamente en el transcurso de aproximadamente dos semanas. También se conectaría al altavoz externo con el que lo emparejé, pero nunca emitiría sonido a través de él (o de sí mismo) después del emparejamiento inicial la próxima vez que se encendió el altavoz. Todo lo que necesitaba hacer era desenchufar el dispositivo y comenzó a funcionar nuevamente. Después de hacer esto varias veces durante unas semanas, sentí que había un problema mayor, así que me puse en contacto con el soporte: el sitio web recomendó el chat en línea. Esa sesión con Shashi duró 58 minutos y resultó en un reinicio completo del Dot y me dijeron que resolvería el problema, pero que no dude en volver a comunicarse si vuelve a suceder. El retraso de aproximadamente cada dos semanas continuó y lo desconecté / volví a enchufar e incluso lo reinicié nuevamente, pero el ciclo siguió siendo el mismo hasta que recientemente comenzó a lanzarme un anillo rojo y me dijo que lo intentara de nuevo más tarde. Nuevamente me comuniqué con el soporte y después de un relato desgarrador de la experiencia, ""Iris"" me dijo que la unidad estaba defectuosa y que tendría que COMPRAR OTRA unidad. Iris me ofreció el siguiente consuelo (citas incluidas): ""Si bien este no es un problema común, Echo es un dispositivo electrónico físico y siempre existe la posibilidad de que algo suceda. Nos damos cuenta de esto y ofrecemos una garantía limitada de 90 días que cubre cualquier defecto no causado por daños físicos. También sabemos que ocurren accidentes, por lo que tenemos opciones especiales disponibles para comprar un nuevo dispositivo con descuento"". Si bien fue agradable tener un Dot en otra habitación para localizar comandos, el rendimiento irregular, la incapacidad de mantener una conexión Bluetooth a un altavoz externo y una venta incompleta seguida de un largo proceso de solución de problemas que sacó la unidad de la garantía y ordenó una segunda compra, le recomendaría que pague el precio completo y registre cualquier problema y pasos de solución de problemas de inmediato.  teniendo en cuenta la ventana de 90 días. Probablemente sea mejor obtener un Echo más caro para lograr el segundo objetivo de Alexa, ya que parecen funcionar sin problemas (en mi experiencia). ¡Cuidado con el comprador!

",8-May-19,mixed,atencion_al_cliente_y_envio
"
Este dispositivo fue un buen dispositivo para agregar a la habitación de nuestros hijos.  Es realmente lindo.  Me gusta que pude configurar el control parental para asegurarme de que mis hijos no pudieran comprar artículos en mi cuenta o hacer preguntas indecentes que Alexa respondería.  Mis hijos adoran este dispositivo.  Ahora, pueden preguntarle a Alexa cómo deletrear palabras específicas, preguntas de matemáticas, leer libros y mucho más.  Asegúrese de descargar la aplicación Alexa en su teléfono para ayudar con el proceso de integración. Este dispositivo tiene mucho que puedes hacer con él.  Desafortunadamente, tuve que aprender a través de prueba y error, ya que no hay un manual que venga con el dispositivo.  Hay muchas habilidades que puede clasificar en la aplicación que podrían ser muy beneficiosas.  Lleva mucho tiempo adaptarse a sus gustos, pero estoy seguro de que valdrá la pena. Para nosotros, los padres, nos encanta el'Drop in partion' donde puede usarlo como intercomunicador para notificar a otros en otras áreas de la casa 😂.  Esta habilidad asustó tanto a mi adolescente una mañana que pensó que Jesús la estaba llamando por su nombre mientras dormía.  Lol.  El único inconveniente es que también pueden aparecer en su dispositivo.  Así que úsalo sabiamente. Fue tan dulce que pude crear una habilidad que le permitió a mi hija preguntarle a Alexa cuántos días faltaban para Navidad.  Además, la notificación y los eventos del calendario de mi correo electrónico también fueron útiles. Lo que me preocupa es cuando a veces tenemos que llamar el nombre de Alexa en voz alta para hacer una pregunta. A veces no reconoce las voces (recuerde configurarlas a través de la aplicación o el dispositivo). La calidad del altavoz / sonido es excelente.  También puede agruparlos para reproducir la misma música en todos los dispositivos simultáneamente; Qué bien. Lo recomiendo encarecidamente, pero tenga paciencia al configurarlos.

",29-Dec-19,mixed,audio_y_sonido
"
Ya hace mas de 1 año compre a Alexa, nos ha hecho reír, le he hecho cantar las mañanitas a mi hija en su cumpleaños, este es un gran producto, lo que me costo ya ha sido pagado y super pagado, lo he integrado con varios aparatos inteligente, me ha hecho mas vago jeje dormido en la cama con pereza a ver mi celular le pregunto a Alexa que hora es y me lo dice,  yo digo ahh sigo durmiendo jeje, lo ultimo que he hecho es una rutina de evacuación, cuando le digo ""Alexa Emergencia"" ella prende las luces abre las puerta eléctrica de mi casa y dice una rutina, yo viví un terremoto y durante el evento la electricidad se fue a los 20 seg, se prendieron las luces de emergencia en mi casa pero al llegar a la puerta eléctrica no pude salir porque ya no había electricidad, por eso he hecho esta rutina, que ella abra la puerta y si se va la electricidad por lo menos ya estaba abierta la puerta. Buen producto, gran soporte atrás de este producto, lo demás ustedes pueden saber en otros comentarios, gracias.

",15-Nov-19,mixed,atencion_al_cliente_y_envio
